Semester,Course ID,Course Name,Instructor,Enrollment,Max Capacity,Offered,A,B,C,D,F,Classroom Location,Class Capacity,Distance to IMU (m),Distance to Wells Library (m),Distance to Luddy Hall (m),Distance to Sample Gates (m),Latitude,Longitude,Preferred Location,Preferred Location Latitude,Preferred Location Longitude,Topics,Keywords,Class Start Time,Preferred Location Time
2020 Fall,INFO-I103,Course 3,Dr. Johnson,96,150,TRUE,55,16,11,13,1,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Luddy Hall,39.17288318,-86.52334277,Data Science,"statistics, visualization, big data, data analysis, machine learning",10:44,10:54
2020 Fall,INFO-I104,Course 4,Dr. Jones,0,0,FALSE,0,0,0,0,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,IMU,39.1677,-86.5237,Data Science,"visualization, data analysis, machine learning, statistics, big data",19:02,19:09
2020 Fall,INFO-I105,Course 5,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,IMU,39.1677,-86.5237,Data Science,"big data, statistics, data analysis, visualization, machine learning",09:43,09:52
2020 Fall,INFO-I106,Course 6,Dr. Jones,111,150,TRUE,83,2,17,3,6,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,McNutt,39.1763,-86.5202,Software Engineering,"programming, testing, software design, debugging, agile",19:22,19:30
2020 Fall,INFO-I107,Course 7,Dr. Williams,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Wells Library,39.1724,-86.5168,Information Systems,"IT management, databases, networking, cloud computing, enterprise systems",19:21,19:29
2020 Fall,INFO-I108,Course 8,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,McNutt,39.1763,-86.5202,Data Science,"machine learning, visualization, data analysis, big data, statistics",10:36,10:46
2020 Fall,INFO-I109,Course 9,Dr. Brown,65,100,TRUE,36,6,9,8,6,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,Wells Library,39.1724,-86.5168,Software Engineering,"agile, programming, debugging, software design, testing",14:25,14:32
2020 Fall,INFO-I110,Course 10,Dr. Smith,0,0,FALSE,0,0,0,0,0,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Wells Library,39.1724,-86.5168,Software Engineering,"testing, programming, software design, debugging, agile",17:18,17:28
2020 Fall,INFO-I111,Course 11,Dr. Smith,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,McNutt,39.1763,-86.5202,Software Engineering,"debugging, software design, programming, testing, agile",12:46,12:55
2020 Fall,INFO-I112,Course 12,Dr. Williams,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Forest,39.16469636,-86.51291367,Software Engineering,"testing, debugging, agile, software design, programming",20:00,20:05
2020 Fall,INFO-I113,Course 13,Dr. Jones,73,50,TRUE,32,12,15,4,10,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,Wells Library,39.1724,-86.5168,Data Science,"data analysis, visualization, machine learning, statistics, big data",16:19,16:29
2020 Fall,INFO-I114,Course 14,Dr. Williams,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Wells Library,39.1724,-86.5168,Software Engineering,"software design, programming, agile, debugging, testing",09:53,10:03
2020 Fall,INFO-I115,Course 15,Dr. Johnson,126,50,TRUE,28,41,18,25,14,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Bookmarket,39.171,-86.5168,AI/ML,"deep learning, AI ethics, neural networks, reinforcement learning, natural language processing",17:50,17:56
2020 Fall,INFO-I116,Course 16,Dr. Jones,60,150,TRUE,25,14,13,8,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,IMU,39.1677,-86.5237,Information Systems,"IT management, databases, networking, enterprise systems, cloud computing",11:26,11:35
2020 Fall,INFO-I117,Course 17,Dr. Brown,92,150,TRUE,46,15,15,2,14,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Luddy Hall,39.17288318,-86.52334277,Software Engineering,"software design, agile, debugging, programming, testing",11:20,11:25
2020 Fall,INFO-I118,Course 18,Dr. Jones,0,0,FALSE,0,0,0,0,0,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Forest,39.16469636,-86.51291367,Software Engineering,"software design, debugging, programming, agile, testing",19:27,19:36
2020 Fall,INFO-I119,Course 19,Dr. Smith,0,0,FALSE,0,0,0,0,0,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,McNutt,39.1763,-86.5202,HCI,"user experience, human factors, interaction design, interface design, usability testing",16:12,16:21
2020 Fall,INFO-I120,Course 20,Dr. Jones,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Read,39.16622221,-86.51488147,AI/ML,"natural language processing, neural networks, reinforcement learning, AI ethics, deep learning",09:13,09:18
2020 Fall,INFO-I121,Course 21,Dr. Williams,10,50,TRUE,7,1,0,2,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Wells Library,39.1724,-86.5168,Information Systems,"databases, networking, cloud computing, IT management, enterprise systems",11:06,11:15
2020 Fall,INFO-I122,Course 22,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,IMU,39.1677,-86.5237,AI/ML,"deep learning, reinforcement learning, neural networks, natural language processing, AI ethics",16:24,16:31
2020 Fall,INFO-I123,Course 23,Dr. Johnson,73,100,TRUE,24,20,6,12,11,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,McNutt,39.1763,-86.5202,Software Engineering,"debugging, testing, agile, programming, software design",10:11,10:17
2020 Fall,INFO-I124,Course 24,Dr. Brown,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Bookmarket,39.171,-86.5168,Software Engineering,"agile, programming, debugging, testing, software design",11:33,11:39
2020 Fall,INFO-I125,Course 25,Dr. Brown,0,0,FALSE,0,0,0,0,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,IMU,39.1677,-86.5237,Data Science,"machine learning, visualization, data analysis, statistics, big data",12:52,13:02
2020 Fall,INFO-I126,Course 26,Dr. Johnson,62,100,TRUE,34,12,8,2,6,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Forest,39.16469636,-86.51291367,Data Science,"data analysis, machine learning, big data, visualization, statistics",16:19,16:24
2020 Fall,INFO-I127,Course 27,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Bookmarket,39.171,-86.5168,Software Engineering,"debugging, programming, agile, testing, software design",09:13,09:21
2020 Fall,INFO-I128,Course 28,Dr. Brown,0,0,FALSE,0,0,0,0,0,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,Forest,39.16469636,-86.51291367,Data Science,"visualization, machine learning, big data, data analysis, statistics",10:01,10:10
2020 Fall,INFO-I129,Course 29,Dr. Jones,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Forest,39.16469636,-86.51291367,Data Science,"statistics, data analysis, visualization, machine learning, big data",09:14,09:23
2020 Fall,INFO-I130,Course 30,Dr. Brown,0,0,FALSE,0,0,0,0,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Luddy Hall,39.17288318,-86.52334277,Software Engineering,"debugging, software design, agile, programming, testing",15:36,15:45
2020 Fall,INFO-I131,Course 31,Dr. Brown,17,50,TRUE,11,4,2,0,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Union Street,39.17137812,-86.50945125,Data Science,"big data, machine learning, visualization, data analysis, statistics",11:30,11:35
2020 Fall,INFO-I132,Course 32,Dr. Brown,0,0,FALSE,0,0,0,0,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Wells Library,39.1724,-86.5168,Data Science,"statistics, data analysis, big data, visualization, machine learning",19:13,19:21
2020 Fall,INFO-I133,Course 33,Dr. Williams,117,50,TRUE,55,17,28,8,9,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Collins,39.1708,-86.5237,HCI,"human factors, interaction design, interface design, usability testing, user experience",15:19,15:27
2020 Fall,INFO-I134,Course 34,Dr. Smith,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Luddy Hall,39.17288318,-86.52334277,Software Engineering,"debugging, agile, testing, software design, programming",14:47,14:53
2020 Fall,INFO-I135,Course 35,Dr. Williams,0,0,FALSE,0,0,0,0,0,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,IMU,39.1677,-86.5237,Software Engineering,"software design, debugging, agile, testing, programming",10:38,10:45
2020 Fall,INFO-I136,Course 36,Dr. Jones,0,0,FALSE,0,0,0,0,0,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Bookmarket,39.171,-86.5168,Software Engineering,"testing, agile, software design, debugging, programming",14:23,14:32
2020 Fall,INFO-I137,Course 37,Dr. Johnson,64,50,TRUE,47,10,0,5,2,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Union Street,39.17137812,-86.50945125,AI/ML,"reinforcement learning, natural language processing, deep learning, AI ethics, neural networks",13:36,13:42
2020 Fall,INFO-I138,Course 38,Dr. Williams,105,100,TRUE,71,0,21,13,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Forest,39.16469636,-86.51291367,Data Science,"statistics, visualization, data analysis, big data, machine learning",09:03,09:13
2020 Fall,INFO-I139,Course 39,Dr. Smith,133,150,TRUE,72,8,26,7,20,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Wells Library,39.1724,-86.5168,AI/ML,"AI ethics, reinforcement learning, neural networks, deep learning, natural language processing",12:04,12:13
2020 Fall,INFO-I140,Course 40,Dr. Smith,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Luddy Hall,39.17288318,-86.52334277,Data Science,"visualization, big data, data analysis, machine learning, statistics",15:44,15:49
2020 Fall,INFO-I141,Course 41,Dr. Johnson,80,100,TRUE,56,2,14,2,6,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,IMU,39.1677,-86.5237,Information Systems,"cloud computing, IT management, enterprise systems, databases, networking",10:01,10:10
2020 Fall,INFO-I142,Course 42,Dr. Jones,75,100,TRUE,35,22,13,1,4,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Wells Library,39.1724,-86.5168,HCI,"human factors, user experience, interaction design, usability testing, interface design",09:10,09:16
2020 Fall,INFO-I143,Course 43,Dr. Jones,0,0,FALSE,0,0,0,0,0,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,McNutt,39.1763,-86.5202,Cybersecurity,"network security, penetration testing, encryption, cyber threats, risk management",19:52,20:01
2020 Fall,INFO-I144,Course 44,Dr. Johnson,71,100,TRUE,43,15,5,4,4,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Wells Library,39.1724,-86.5168,AI/ML,"neural networks, AI ethics, reinforcement learning, deep learning, natural language processing",17:06,17:12
2020 Fall,INFO-I145,Course 45,Dr. Brown,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Luddy Hall,39.17288318,-86.52334277,Data Science,"visualization, machine learning, statistics, big data, data analysis",13:24,13:31
2020 Fall,INFO-I146,Course 46,Dr. Smith,0,0,FALSE,0,0,0,0,0,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,IMU,39.1677,-86.5237,Cybersecurity,"encryption, risk management, penetration testing, network security, cyber threats",16:30,16:36
2020 Fall,INFO-I147,Course 47,Dr. Smith,110,150,TRUE,77,3,17,13,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,McNutt,39.1763,-86.5202,Software Engineering,"programming, agile, software design, testing, debugging",13:56,14:04
2020 Fall,INFO-I148,Course 48,Dr. Brown,38,150,TRUE,17,8,9,1,3,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Collins,39.1708,-86.5237,AI/ML,"AI ethics, neural networks, deep learning, natural language processing, reinforcement learning",09:29,09:36
2020 Fall,INFO-I149,Course 49,Dr. Williams,129,150,TRUE,94,0,18,15,2,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Luddy Hall,39.17288318,-86.52334277,Software Engineering,"testing, programming, debugging, software design, agile",15:47,15:55
2020 Fall,INFO-I150,Course 50,Dr. Johnson,121,150,TRUE,44,23,23,24,7,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,IMU,39.1677,-86.5237,AI/ML,"AI ethics, deep learning, neural networks, reinforcement learning, natural language processing",16:46,16:53
2021 Fall,INFO-I101,Course 1,Dr. Williams,17,150,TRUE,6,5,4,1,1,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Read,39.16622221,-86.51488147,Cybersecurity,"network security, cyber threats, encryption, risk management, penetration testing",15:18,15:26
2021 Fall,INFO-I102,Course 2,Dr. Brown,40,150,TRUE,37,2,0,0,1,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Wells Library,39.1724,-86.5168,Cybersecurity,"cyber threats, penetration testing, network security, encryption, risk management",15:08,15:18
2021 Fall,INFO-I103,Course 3,Dr. Johnson,59,50,TRUE,22,18,5,11,3,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Forest,39.16469636,-86.51291367,Data Science,"big data, machine learning, statistics, visualization, data analysis",11:28,11:35
2021 Fall,INFO-I104,Course 4,Dr. Jones,47,50,TRUE,27,7,7,6,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Collins,39.1708,-86.5237,Software Engineering,"software design, debugging, testing, programming, agile",13:46,13:55
2021 Fall,INFO-I105,Course 5,Dr. Smith,10,50,TRUE,5,3,1,0,1,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Collins,39.1708,-86.5237,Software Engineering,"software design, agile, debugging, programming, testing",18:28,18:38
2021 Fall,INFO-I106,Course 6,Dr. Jones,0,0,FALSE,0,0,0,0,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,IMU,39.1677,-86.5237,HCI,"interface design, interaction design, usability testing, human factors, user experience",11:33,11:40
2021 Fall,INFO-I107,Course 7,Dr. Williams,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,IMU,39.1677,-86.5237,Software Engineering,"testing, debugging, programming, software design, agile",11:05,11:12
2021 Fall,INFO-I108,Course 8,Dr. Jones,133,150,TRUE,59,32,24,5,13,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Luddy Hall,39.17288318,-86.52334277,Data Science,"visualization, big data, machine learning, statistics, data analysis",13:03,13:08
2021 Fall,INFO-I109,Course 9,Dr. Jones,92,150,TRUE,29,17,23,9,14,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,McNutt,39.1763,-86.5202,HCI,"human factors, interaction design, user experience, usability testing, interface design",18:20,18:25
2021 Fall,INFO-I110,Course 10,Dr. Brown,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Bookmarket,39.171,-86.5168,Software Engineering,"testing, software design, agile, programming, debugging",12:47,12:55
2021 Fall,INFO-I111,Course 11,Dr. Brown,44,100,TRUE,24,11,4,5,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,IMU,39.1677,-86.5237,Data Science,"machine learning, statistics, data analysis, big data, visualization",09:40,09:45
2021 Fall,INFO-I112,Course 12,Dr. Brown,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Wells Library,39.1724,-86.5168,Software Engineering,"testing, debugging, software design, programming, agile",18:08,18:14
2021 Fall,INFO-I113,Course 13,Dr. Jones,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Read,39.16622221,-86.51488147,HCI,"interface design, user experience, interaction design, human factors, usability testing",09:50,09:57
2021 Fall,INFO-I114,Course 14,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Luddy Hall,39.17288318,-86.52334277,Data Science,"big data, data analysis, statistics, machine learning, visualization",17:11,17:21
2021 Fall,INFO-I115,Course 15,Dr. Brown,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Wells Library,39.1724,-86.5168,HCI,"usability testing, user experience, human factors, interaction design, interface design",13:55,14:03
2021 Fall,INFO-I116,Course 16,Dr. Jones,98,150,TRUE,56,24,4,2,12,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Wells Library,39.1724,-86.5168,AI/ML,"reinforcement learning, deep learning, AI ethics, neural networks, natural language processing",16:55,17:03
2021 Fall,INFO-I117,Course 17,Dr. Brown,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Read,39.16622221,-86.51488147,Software Engineering,"programming, agile, debugging, testing, software design",10:45,10:51
2021 Fall,INFO-I118,Course 18,Dr. Smith,114,150,TRUE,45,30,22,8,9,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Forest,39.16469636,-86.51291367,Data Science,"statistics, visualization, data analysis, big data, machine learning",15:20,15:28
2021 Fall,INFO-I119,Course 19,Dr. Brown,107,150,TRUE,71,23,0,11,2,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,IMU,39.1677,-86.5237,AI/ML,"AI ethics, deep learning, natural language processing, neural networks, reinforcement learning",12:41,12:50
2021 Fall,INFO-I120,Course 20,Dr. Smith,81,100,TRUE,31,18,7,13,12,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,McNutt,39.1763,-86.5202,HCI,"human factors, user experience, usability testing, interface design, interaction design",12:17,12:25
2021 Fall,INFO-I121,Course 21,Dr. Williams,0,0,FALSE,0,0,0,0,0,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Read,39.16622221,-86.51488147,Software Engineering,"programming, agile, testing, software design, debugging",09:21,09:29
2021 Fall,INFO-I122,Course 22,Dr. Brown,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,IMU,39.1677,-86.5237,AI/ML,"natural language processing, AI ethics, deep learning, neural networks, reinforcement learning",14:47,14:55
2021 Fall,INFO-I123,Course 23,Dr. Jones,103,100,TRUE,43,7,25,19,9,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Forest,39.16469636,-86.51291367,Software Engineering,"testing, debugging, programming, agile, software design",16:12,16:21
2021 Fall,INFO-I124,Course 24,Dr. Jones,0,0,FALSE,0,0,0,0,0,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Bookmarket,39.171,-86.5168,Software Engineering,"agile, debugging, testing, software design, programming",17:18,17:24
2021 Fall,INFO-I125,Course 25,Dr. Williams,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Luddy Hall,39.17288318,-86.52334277,Information Systems,"databases, cloud computing, enterprise systems, IT management, networking",11:31,11:39
2021 Fall,INFO-I126,Course 26,Dr. Smith,47,100,TRUE,22,9,7,4,5,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,IMU,39.1677,-86.5237,AI/ML,"neural networks, natural language processing, deep learning, reinforcement learning, AI ethics",15:11,15:18
2021 Fall,INFO-I127,Course 27,Dr. Williams,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,IMU,39.1677,-86.5237,AI/ML,"deep learning, neural networks, natural language processing, AI ethics, reinforcement learning",11:14,11:21
2021 Fall,INFO-I128,Course 28,Dr. Williams,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Wells Library,39.1724,-86.5168,AI/ML,"deep learning, AI ethics, natural language processing, neural networks, reinforcement learning",09:10,09:18
2021 Fall,INFO-I129,Course 29,Dr. Jones,0,0,FALSE,0,0,0,0,0,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Luddy Hall,39.17288318,-86.52334277,Data Science,"visualization, machine learning, big data, statistics, data analysis",10:20,10:29
2021 Fall,INFO-I130,Course 30,Dr. Johnson,133,150,TRUE,41,37,19,24,12,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,Union Street,39.17137812,-86.50945125,Cybersecurity,"cyber threats, risk management, penetration testing, network security, encryption",15:34,15:41
2021 Fall,INFO-I131,Course 31,Dr. Brown,109,150,TRUE,86,1,13,6,3,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,IMU,39.1677,-86.5237,Software Engineering,"software design, testing, programming, agile, debugging",19:51,19:57
2021 Fall,INFO-I132,Course 32,Dr. Johnson,29,150,TRUE,23,2,0,1,3,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Forest,39.16469636,-86.51291367,Data Science,"visualization, machine learning, data analysis, statistics, big data",17:17,17:22
2021 Fall,INFO-I133,Course 33,Dr. Jones,50,50,TRUE,30,11,3,6,0,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Luddy Hall,39.17288318,-86.52334277,Data Science,"machine learning, visualization, big data, data analysis, statistics",09:31,09:41
2021 Fall,INFO-I134,Course 34,Dr. Smith,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Collins,39.1708,-86.5237,Software Engineering,"software design, programming, debugging, testing, agile",18:49,18:55
2021 Fall,INFO-I135,Course 35,Dr. Smith,0,0,FALSE,0,0,0,0,0,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,Read,39.16622221,-86.51488147,Software Engineering,"debugging, software design, agile, testing, programming",13:15,13:21
2021 Fall,INFO-I136,Course 36,Dr. Smith,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,McNutt,39.1763,-86.5202,Information Systems,"cloud computing, IT management, networking, databases, enterprise systems",19:44,19:51
2021 Fall,INFO-I137,Course 37,Dr. Brown,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Bookmarket,39.171,-86.5168,Information Systems,"IT management, enterprise systems, cloud computing, databases, networking",11:35,11:44
2021 Fall,INFO-I138,Course 38,Dr. Williams,88,150,TRUE,33,23,15,5,12,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Bookmarket,39.171,-86.5168,Data Science,"machine learning, big data, statistics, visualization, data analysis",17:10,17:20
2021 Fall,INFO-I139,Course 39,Dr. Johnson,133,50,TRUE,81,11,18,8,15,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,IMU,39.1677,-86.5237,Software Engineering,"agile, programming, testing, debugging, software design",19:27,19:32
2021 Fall,INFO-I140,Course 40,Dr. Jones,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Union Street,39.17137812,-86.50945125,AI/ML,"AI ethics, neural networks, natural language processing, deep learning, reinforcement learning",13:54,14:03
2021 Fall,INFO-I141,Course 41,Dr. Johnson,127,150,TRUE,70,26,28,1,2,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Collins,39.1708,-86.5237,Software Engineering,"software design, programming, testing, debugging, agile",10:25,10:32
2021 Fall,INFO-I142,Course 42,Dr. Jones,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Luddy Hall,39.17288318,-86.52334277,Cybersecurity,"cyber threats, risk management, network security, encryption, penetration testing",13:16,13:24
2021 Fall,INFO-I143,Course 43,Dr. Brown,83,50,TRUE,24,25,16,5,13,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Collins,39.1708,-86.5237,AI/ML,"AI ethics, deep learning, reinforcement learning, neural networks, natural language processing",09:59,10:04
2021 Fall,INFO-I144,Course 44,Dr. Brown,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,IMU,39.1677,-86.5237,Software Engineering,"testing, software design, programming, debugging, agile",13:50,13:55
2021 Fall,INFO-I145,Course 45,Dr. Brown,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Bookmarket,39.171,-86.5168,Data Science,"statistics, data analysis, visualization, machine learning, big data",16:04,16:11
2021 Fall,INFO-I146,Course 46,Dr. Smith,101,50,TRUE,72,10,7,8,4,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Bookmarket,39.171,-86.5168,Data Science,"machine learning, data analysis, visualization, statistics, big data",15:23,15:32
2021 Fall,INFO-I147,Course 47,Dr. Smith,21,150,TRUE,12,3,1,4,1,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Union Street,39.17137812,-86.50945125,Information Systems,"networking, cloud computing, IT management, enterprise systems, databases",18:08,18:13
2021 Fall,INFO-I148,Course 48,Dr. Smith,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Bookmarket,39.171,-86.5168,Data Science,"big data, statistics, visualization, machine learning, data analysis",13:58,14:07
2021 Fall,INFO-I149,Course 49,Dr. Jones,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Read,39.16622221,-86.51488147,Software Engineering,"agile, programming, testing, software design, debugging",13:20,13:28
2021 Fall,INFO-I150,Course 50,Dr. Williams,121,50,TRUE,46,24,27,8,16,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Collins,39.1708,-86.5237,AI/ML,"natural language processing, reinforcement learning, neural networks, AI ethics, deep learning",16:11,16:17
2022 Fall,INFO-I101,Course 1,Dr. Williams,98,100,TRUE,43,21,21,2,11,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Luddy Hall,39.17288318,-86.52334277,AI/ML,"natural language processing, neural networks, reinforcement learning, AI ethics, deep learning",10:51,10:57
2022 Fall,INFO-I102,Course 2,Dr. Brown,96,150,TRUE,43,19,10,9,15,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Bookmarket,39.171,-86.5168,Data Science,"statistics, data analysis, machine learning, big data, visualization",10:51,10:57
2022 Fall,INFO-I103,Course 3,Dr. Jones,28,100,TRUE,16,4,4,0,4,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,IMU,39.1677,-86.5237,Software Engineering,"debugging, testing, software design, agile, programming",18:37,18:44
2022 Fall,INFO-I104,Course 4,Dr. Smith,82,150,TRUE,45,16,7,9,5,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,IMU,39.1677,-86.5237,Data Science,"big data, machine learning, data analysis, visualization, statistics",09:44,09:53
2022 Fall,INFO-I105,Course 5,Dr. Williams,33,100,TRUE,19,6,4,1,3,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Collins,39.1708,-86.5237,AI/ML,"deep learning, AI ethics, neural networks, reinforcement learning, natural language processing",15:16,15:26
2022 Fall,INFO-I106,Course 6,Dr. Williams,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Wells Library,39.1724,-86.5168,Data Science,"visualization, statistics, big data, machine learning, data analysis",11:06,11:15
